id,queued_time,wait_time,runtime,node_requested,node_used,walltime
485,2171590,5309,21702,2,2,7200
486,2172109,2273,2489,128,128,2400
487,2174773,1980,14514,1,1,600
488,2175427,1448,4582,32,32,14400
489,2175531,2174,2493,32,32,14400
490,2175602,4646,1752,2,2,86400
491,2176751,8946,4008,1,1,172800
492,2176790,8459,2511,1,1,39600
493,2176912,754,1454,1,1,1800
494,2176972,9018,1178,256,256,14400
495,2177252,10538,4447,128,128,21600
496,2177253,10556,4447,128,128,21600
497,2177310,10521,4306,1,1,43200
498,2177312,10538,2706,1,1,3600
499,2177333,10656,4070,128,128,21600
500,2177334,10771,3974,128,128,21600
501,2177367,10758,8148,1,1,3960
502,2177368,10776,2412,128,128,21600
503,2177390,10771,3898,1,1,39600
504,2177391,12343,2345,128,128,21600
505,2177404,281,111,1,1,172800
506,2177423,13182,10000,1,1,21600
507,2177424,13201,2343,128,128,21600
508,2177642,3015,3053,256,256,2400
509,2177677,66,2455,8,8,3600
510,2177960,11810,7801,1,1,43200
511,2178035,11874,6071,128,128,21600
512,2178134,11794,6071,1,1,21600
513,2178252,5466,3863,64,64,14400
514,2178274,9436,4032,6,6,10800
515,2178294,9437,3971,64,64,14400
516,2178606,7506,1372,1,1,600
517,2178610,7170,4099,256,256,9000
518,2178612,8586,325,256,256,14400
519,2179006,2497,7300,1,1,7200
520,2179141,48,1440,128,128,2400
521,2180413,9833,21694,128,128,21600
522,2180649,1356,1385,128,128,2400
523,2180746,9540,21692,128,128,21600
524,2181897,8410,19162,128,128,21600
525,2186024,520,11900,48,48,14400
526,2186403,5369,10336,96,96,14400
527,2187791,2435,2489,1,1,7200
528,2188881,3261,2159,256,256,4800
529,2188905,1360,3082,128,128,3000
530,2188926,2371,1138,1,1,1740
531,2189199,39,7293,8,8,7200
532,2191249,917,14474,1,1,9000
533,2191296,890,14494,11,11,3600
534,2191308,897,14496,64,64,14400
535,2191311,954,14493,1,1,172800
536,2191314,971,14492,1,1,172800
537,2191391,914,14511,1,1,36000
538,2191394,930,14513,1,1,21600
539,2191396,948,14513,64,64,14400
540,2191408,956,14512,1,1,43200
541,2191413,972,14472,1,1,900
542,2191454,15249,14492,1,1,39600
543,2191457,15272,14506,1,1,2820
544,2191467,15312,14497,64,64,14400
545,2191470,15368,14515,1,1,172800
546,2191476,15425,14540,64,64,14400
